"district","county","subcounty","parish","year","school_name","ownership","gender","p1","p2","p3","p4","p5","p6","p7","total","location_code","facility_id"
"Masindi","Buruli","Kiruli","Kibibira","2023","Nyakarongo Primary School","Government","Girls","112","94","30","43","27","23","4.0","333","D02S19P03","nyakarongo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2023","Nyakatoogo Primary School","Government","Girls","15","17","11","10","7","8","10.0","78","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2023","Nyakyanika Primary School","Government","Girls","92","82","77","64","39","20","16.0","390","D02S07P03","nyakyanika-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2023","Nyambindo Primary School","Government","Girls","115","73","64","47","31","22","11.0","363","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2023","Nyantonzi Primary School","Government","Girls","79","73","64","70","38","52","11.0","387","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2023","Rukondwa Primary School","Government","Girls","29","33","11","24","9","13","11.0","130","D02S12P03","rukondwa-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Rwempisi","2023","Rwempisi Primary School","Government","Girls","104","73","70","40","21","17","10.0","335","D02S16P05","rwempisi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2023","Siiba Primary School","Government","Girls","45","37","32","8","25","19","8.0","174","D02S16P01","siiba-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","St Marys Primary School Kyatiri","Government","Girls","149","191","118","122","64","49","36.0","729","D02S05P02","st-marys-primary-school-kyatiri_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2023","St Kizito Murro Primary School","Government","Girls","23","20","18","11","10","12","11.0","105","D02S13P02","st-kizito-murro-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","St Pauls Primary School Pakanyi","Government","Girls","31","48","47","36","38","21","19.0","240","D02S05P02","st-pauls-primary-school-pakanyi_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","Waiga Primary School","Government","Girls","169","159","146","128","54","33","27.0","716","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2023","Walyoba Primary School","Government","Girls","48","90","72","96","74","71","37.0","488","D02S07P03","walyoba-primary-school_masindi"
